period,subba,subba-name,parent,parent-name,value,value-units
2024-01-01T20,CE,Commonwealth Edison zone,PJM,"PJM Interconnection, LLC",9834,megawatthours
2024-01-01T20,BC,Baltimore Gas & Electric zone,PJM,"PJM Interconnection, LLC",3657,megawatthours
2024-01-01T20,ATSI,"American Transmission Systems, Inc. zone",PJM,"PJM Interconnection, LLC",7352,megawatthours
2024-01-01T20,AP,Allegheny Power zone,PJM,"PJM Interconnection, LLC",6188,megawatthours
2024-01-01T20,AEP,American Electric Power zone,PJM,"PJM Interconnection, LLC",14860,megawatthours
2024-01-01T20,AE,Atlantic Electric zone,PJM,"PJM Interconnection, LLC",1072,megawatthours
2024-01-01T20,ZONK,Long Island,NYIS,New York Independent System Operator,2016,megawatthours
2024-01-01T20,ZONJ,New York City,NYIS,New York Independent System Operator,5081,megawatthours
2024-01-01T20,ZONI,Dunwoodie,NYIS,New York Independent System Operator,566,megawatthours
2024-01-01T20,ZONH,Millwood,NYIS,New York Independent System Operator,313,megawatthours
2024-01-01T20,ZONG,Hudson Valley,NYIS,New York Independent System Operator,1043,megawatthours
2024-01-01T20,ZONF,Capital,NYIS,New York Independent System Operator,1219,megawatthours
2024-01-01T20,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,838,megawatthours
2024-01-01T20,ZOND,North,NYIS,New York Independent System Operator,735,megawatthours
2024-01-01T20,ZONC,Central,NYIS,New York Independent System Operator,1899,megawatthours
